TimeStamp, GSRValue
09:00:793,73
09:00:813,73
09:00:833,72
09:00:854,72
09:00:874,73
09:00:895,73
09:00:911,73
09:00:932,73
09:00:952,73
09:00:973,72
09:00:993,73
09:01:013,72
09:01:035,73
09:01:055,73
09:01:075,73
09:01:096,73
09:01:116,73
09:01:136,74
09:01:157,74
09:01:178,73
09:01:198,73
09:01:219,73
09:01:239,74
09:01:259,74
09:01:280,73
09:01:300,73
09:01:321,73
09:01:342,73
09:01:362,73
09:01:382,72
09:01:403,73
09:01:423,72
09:01:444,72
09:01:464,72
09:01:485,72
09:01:505,72
09:01:526,72
09:01:546,71
09:01:567,72
09:01:587,71
09:01:608,72
09:01:628,71
09:01:649,71
09:01:665,71
09:01:685,71
09:01:706,71
09:01:726,71
09:01:747,71
09:01:768,71
09:01:788,72
09:01:808,71
09:01:829,71
09:01:850,72
09:01:870,72
09:01:890,72
09:01:911,72
09:01:932,71
09:01:951,71
09:01:972,71
09:01:993,71
09:02:013,71
09:02:034,71
09:02:054,71
09:02:075,71
09:02:095,71
09:02:116,71
09:02:136,71
09:02:157,71
09:02:177,72
09:02:197,71
09:02:218,71
09:02:239,71
09:02:259,72
09:02:280,72
09:02:300,71
09:02:320,71
09:02:341,72
09:02:362,71
09:02:382,72
09:02:402,72
09:02:423,72
09:02:439,72
09:02:460,72
09:02:480,72
09:02:500,72
09:02:521,72
09:02:542,72
09:02:562,73
09:02:583,73
09:02:603,73
09:02:624,73
09:02:644,73
09:02:665,74
09:02:685,73
09:02:705,74
09:02:726,73
09:02:747,73
09:02:767,73
09:02:787,73
09:02:808,74
09:02:828,74
09:02:848,73
09:02:870,74
09:02:890,74
09:02:910,74
09:02:931,75
09:02:951,74
09:02:972,74
09:02:993,74
09:03:012,74
09:03:033,75
09:03:053,74
09:03:074,74
09:03:094,74
09:03:115,75
09:03:135,75
09:03:156,74
09:03:176,75
09:03:193,75
09:03:213,75
09:03:234,75
09:03:254,75
09:03:275,76
09:03:295,76
09:03:316,76
09:03:336,76
09:03:357,76
09:03:377,76
09:03:398,76
09:03:418,76
09:03:439,76
09:03:459,76
09:03:479,76
