TimeStamp, GSRValue
37:48:372,150
37:48:392,150
37:48:412,150
37:48:432,150
37:48:453,150
37:48:474,150
37:48:494,150
37:48:514,150
37:48:535,150
37:48:555,150
37:48:576,150
37:48:596,150
37:48:617,150
37:48:637,150
37:48:657,150
37:48:679,150
37:48:699,150
37:48:719,149
37:48:740,150
37:48:760,150
37:48:780,150
37:48:801,150
37:48:822,150
37:48:842,151
37:48:863,150
37:48:883,151
37:48:904,150
37:48:924,150
37:48:945,150
37:48:965,150
37:48:986,150
37:49:006,150
37:49:026,150
37:49:047,150
37:49:067,151
37:49:088,150
37:49:108,150
37:49:129,150
37:49:149,150
37:49:170,150
37:49:191,151
37:49:206,150
37:49:227,150
37:49:247,150
37:49:268,150
37:49:289,150
37:49:309,150
37:49:330,150
37:49:350,150
37:49:371,150
37:49:390,150
37:49:412,150
37:49:431,150
37:49:452,150
37:49:472,150
37:49:494,150
37:49:514,150
37:49:534,151
37:49:555,150
37:49:575,150
37:49:595,151
37:49:616,150
37:49:637,150
37:49:657,151
37:49:678,150
37:49:698,150
37:49:718,151
37:49:740,150
37:49:759,150
37:49:780,150
37:49:801,150
37:49:821,150
37:49:842,150
37:49:862,150
37:49:882,150
37:49:903,150
37:49:924,150
37:49:944,150
37:49:964,151
37:49:985,151
37:50:005,150
37:50:026,150
37:50:046,151
37:50:067,150
37:50:088,150
37:50:108,150
37:50:128,150
37:50:148,150
37:50:170,150
37:50:190,150
37:50:211,150
37:50:230,151
37:50:251,150
37:50:272,150
37:50:292,150
37:50:313,150
37:50:333,150
37:50:353,150
37:50:369,150
37:50:394,150
37:50:411,151
37:50:431,150
37:50:452,150
37:50:472,150
37:50:492,151
37:50:513,151
37:50:534,150
37:50:554,151
37:50:575,150
37:50:595,150
37:50:615,150
37:50:636,150
37:50:657,150
37:50:677,151
37:50:698,150
37:50:718,150
37:50:738,150
37:50:759,151
37:50:779,150
37:50:800,150
37:50:820,150
37:50:840,150
37:50:861,150
37:50:881,151
37:50:902,150
37:50:923,151
37:50:943,150
37:50:964,150
37:50:984,150
37:51:005,150
37:51:025,150
37:51:046,150
37:51:066,150
37:51:087,151
37:51:107,150
37:51:127,149
37:51:148,150
37:51:168,150
37:51:189,150
37:51:209,150
37:51:229,150
37:51:250,150
37:51:271,151
37:51:291,151
37:51:312,151
37:51:332,151
37:51:353,150
37:51:373,150
37:51:394,151
37:51:415,150
37:51:434,151
37:51:456,150
37:51:475,150
37:51:496,150
37:51:517,150
37:51:537,150
37:51:557,150
37:51:578,150
37:51:598,151
37:51:619,151
37:51:639,151
37:51:660,150
37:51:681,150
37:51:701,151
37:51:721,151
37:51:738,150
37:51:758,150
37:51:779,150
37:51:800,150
37:51:820,150
37:51:841,151
37:51:861,150
37:51:881,150
37:51:901,150
37:51:922,151
37:51:942,151
37:51:964,151
37:51:984,151
37:52:004,151
37:52:024,151
37:52:045,151
37:52:066,151
